student_id,study_hours,attendance,previous_marks,assignment_score,internal_marks,performance
1,2,65,48,52,45,0
2,5,82,68,75,70,1
3,1,55,42,45,40,0
4,6,90,78,88,82,1
5,3,72,55,60,56,0
6,7,94,85,92,88,1
7,4,78,62,70,65,1
8,2,60,45,50,43,0
9,8,96,91,95,94,1
10,3,68,51,58,52,0
11,5,85,72,78,74,1
12,1,50,38,42,36,0
13,6,88,80,85,81,1
14,4,75,59,64,61,0
15,7,92,86,90,87,1
16,2,63,46,49,44,0
17,5,80,70,73,69,1
18,3,70,54,57,55,0
19,8,95,89,94,91,1
20,4,76,61,68,63,1
21,2,58,44,47,41,0
22,6,87,77,84,79,1
23,3,66,50,55,49,0
24,7,91,83,89,85,1
25,5,79,67,72,68,1
26,1,52,40,44,38,0
27,6,89,81,86,83,1
28,3,71,53,59,51,0
29,8,97,93,96,95,1
30,4,74,60,63,58,0
31,5,83,69,76,71,1
32,2,61,47,51,45,0
33,7,93,87,91,89,1
34,3,69,52,56,50,0
35,6,86,79,83,80,1
36,4,77,64,67,62,1
37,2,57,43,46,40,0
38,5,81,71,74,70,1
39,7,90,84,88,86,1
40,1,49,35,40,34,0
41,4,73,58,62,57,0
42,6,92,82,87,84,1
43,3,67,49,54,48,0
44,8,98,94,97,96,1
45,5,84,73,79,75,1
46,2,64,45,50,42,0
47,7,89,85,90,86,1
48,4,76,63,69,64,1
49,3,70,56,61,54,0
50,6,88,79,84,81,1
51,2,59,41,48,39,0
52,5,82,68,74,70,1
53,8,94,90,95,92,1
54,3,65,48,53,46,0
55,7,91,86,89,88,1
56,4,78,60,66,61,1
57,1,53,39,43,37,0
58,6,85,76,82,78,1
59,5,80,67,71,69,1
60,2,62,44,49,42,0
61,8,96,92,97,94,1
62,3,68,51,56,50,0
63,6,87,78,85,80,1
64,4,72,57,63,55,0
65,7,93,88,92,90,1
66,2,56,42,45,39,0
67,5,84,70,77,72,1
68,3,69,53,58,52,0
69,8,95,91,94,93,1
70,4,77,62,68,64,1
71,1,51,37,41,35,0
72,6,90,80,86,82,1
73,5,81,69,75,71,1
74,2,60,46,50,43,0
75,7,92,85,90,87,1
76,3,67,50,55,49,0
77,6,86,77,83,79,1
78,4,75,61,65,60,1
79,8,97,93,96,95,1
80,2,58,43,47,40,0
81,5,83,72,76,73,1
82,3,70,54,59,52,0
83,7,94,87,92,89,1
84,1,48,34,39,32,0
85,6,89,81,87,84,1
86,4,79,63,69,65,1
87,2,63,45,51,44,0
88,8,96,90,95,93,1
89,5,85,74,80,76,1
90,3,66,49,55,48,0
91,7,91,84,90,88,1
92,4,73,58,64,57,0
93,6,88,79,85,81,1
94,2,55,40,45,38,0
95,5,82,70,76,72,1
96,8,98,94,97,96,1
97,3,68,52,57,51,0
98,7,93,86,91,89,1
99,4,76,60,67,62,1
100,6,87,78,84,80,1
